,,,,,,,,,,
,"Catàleg Tipus de documents",,,,,,,,,
,,,,,,,,,,
,"Data d'alta","Data baixa","Codi tipus document","Nom tipus document","Agrupador","Servei de publicació","Estructura XML","Diagnòstic obligatori","Validació CIP","Data activació validació CIP"
,01/05/2017,,252853008,"Proves estereoscòpiques","Proves complementàries","Documents",1,"No","No",
,01/05/2017,,252873003,"Prova de Hirschberg","Proves complementàries","Documents",1,"No","No",
,01/05/2017,,252879004,"Cribratge de Lancaster","Proves complementàries","Documents",1,"No","No",
,01/05/2017,,252886007,"Avaluació de la refracció","Proves complementàries","Documents",1,"No","No",
,01/05/2017,,252895004,"Proves urodinàmiques","Proves complementàries","Documents",1,"No","No",
,01/05/2017,,252963001,"Prova de visió en l'infant","Proves complementàries","Documents",1,"No","No",
,01/05/2017,,257891001,"Teràpia fotodinàmica","Proves complementàries","Documents",1,"No","No",
,01/05/2017,,259393001,"Enteroscòpia diagnòstica","Proves complementàries","Documents / Imatge",2,"No","No",
,01/05/2017,,265232001,"Punció lumbar diagnòstica","Proves complementàries","Documents",1,"No","No",
,01/05/2017,,268445003,"Ecografia obstètrica","Proves complementàries","Documents / Imatge",2,"No","No",
,01/05/2017,,307280005,"Implantació marcapàs cardíac","Proves complementàries","Documents",1,"No","No",
,01/05/2017,,367535003,"Fibrocolonoscòpia","Proves complementàries","Documents / Imatge",2,"No","No",
,01/05/2017,,373681008,"Ecografia ginecològica ","Proves complementàries","Documents / Imatge",2,"No","No",
,01/05/2017,,386276009,"NST - monitoratge fetal electrònic","Proves complementàries","Documents",1,"No","No",
,01/05/2017,,386718000,"CREP- Colangiopancreatografia retrògrada endoscòpica","Proves complementàries","Documents / Imatge",2,"No","No",
,01/05/2017,,386722005,"Colangiografia retrògrada endo","Proves complementàries","Documents / Imatge",2,"No","No",
,01/05/2017,,386831001,"Gastroscòpia","Proves complementàries","Documents / Imatge",2,"No","No",
,01/05/2017,,392102003,"Endoscòpia de faringe","Proves complementàries","Documents / Imatge",2,"No","No",
,01/05/2017,,395218007,"Implantació desfibril·lador cardíac","Proves complementàries","Documents",1,"No","No",
,01/05/2017,,397397002,"Broncoscòpia rentat broncoalv","Proves complementàries","Documents / Imatge",2,"No","No",
,01/05/2017,,397521009,"Biomicroscòpia ultrasònica","Proves complementàries","Documents / Imatge",2,"No","No",
,01/05/2017,,398116004,"Potencials evocats somatosensorials","Proves complementàries","Documents",1,"No","No",
,01/05/2017,,398736007,"Electrooculografia","Proves complementàries","Documents",1,"No","No",
,01/05/2017,,401221002,"Index turmell-braç","Proves complementàries","Documents",1,"No","No",
,01/05/2017,,404933001,"Prova d'equilibri de Berg","Proves complementàries","Documents",1,"No","No",
,01/05/2017,,410442000,"Angiografia ocular","Proves complementàries","Documents / Imatge",2,"No","No",
